"meanBitLifeTimePerPacket:vector MainTest.ue[0].app[0].sink ($numUEs=3, #0 - UDPDownlink-0-20240718-14:54:14-12568)",
4.450375,0.000375
4.500375,0.000375
4.550375,0.000375
4.600375,0.000375
4.650375,0.000375
4.700375,0.000375
4.750375,0.000375
4.800625,0.000624999999999999
4.850375,0.000375
4.900375,0.000375
4.950375,0.000375
5.000375,0.000375
5.050375,0.000375
5.100375,0.000375
5.150375,0.000375
5.200625,0.000624999999999999
5.250375,0.000375
5.300375,0.000375
5.350375,0.000375
5.400375,0.000375
5.450375,0.000375
5.500375,0.000375
5.550375,0.000375
5.600625,0.000624999999999999
5.650375,0.000375
5.700375,0.000375
5.750375,0.000375
5.800375,0.000375
5.850375,0.000375
5.900375,0.000375
5.950375,0.000375
6.000625,0.000624999999999999
6.050375,0.000375
6.100375,0.000375
6.150375,0.000375
6.20075,0.00075
6.250375,0.000375
6.300375,0.000375
6.351125,0.001124999999999999
6.400625,0.000624999999999999
6.45075,0.00075
6.50075,0.00075
6.550375,0.000375
6.600375,0.000375
6.65075,0.00075
6.700375,0.000375
6.75075,0.00075
6.801375,0.001374999999999999
6.850375,0.000375
6.900375,0.000375
6.950375,0.000375
7.000375,0.000375
7.050375,0.000375
7.100375,0.000375
7.15075,0.00075
7.200625,0.000624999999999999
7.25075,0.00075
7.300375,0.000375
7.351125,0.001124999999999999
7.400375,0.000375
7.45075,0.00075
7.500375,0.000375
7.55075,0.00075
7.600625,0.000624999999999999
7.650375,0.000375
7.700375,0.000375
7.75075,0.00075
7.800375,0.000375
7.850375,0.000375
7.900375,0.000375
7.95075,0.00075
8.000625,0.000624999999999999
8.050375,0.000375
8.101125,0.001124999999999999
8.150375,0.000375
8.20075,0.00075
8.250375,0.000375
8.300375,0.000375
8.35075,0.00075
8.400625,0.000624999999999999
8.450375,0.000375
8.50075,0.00075
8.550375,0.000375
8.600375,0.000375
8.65075,0.00075
8.700375,0.000375
8.751125,0.001124999999999999
8.800625,0.000624999999999999
8.850375,0.000375
8.90075,0.00075
8.950375,0.000375
9.00075,0.00075
9.050375,0.000375
9.10075,0.00075
9.150375,0.000375
9.201,0.001
9.250375,0.000375
9.30075,0.00075
9.350375,0.000375
9.40075,0.00075
9.450375,0.000375
9.50075,0.00075
9.550375,0.000375
9.601,0.001
9.650375,0.000375
9.70075,0.00075
