"rcvdSinrDl:vector MainTest.ue[0].cellularNic.nrChannelModel[0] ($numUEs=3, #0 - UDPDownlink-0-20240718-10:23:11-9555)",
4.2001875,38.80326981267999982
4.2501875,33.75949979144900212
4.3001875,37.01471521497199987
4.3501875,38.20137825296899327
4.4004375,41.7150268977020032
4.4501875,40.12614730097999415
4.5001875,41.2827385322199943
4.5501875,42.49084829781499177
4.6001875,37.58464233427800127
4.6501875,39.47924343588499582
4.7001875,43.248648846021993
4.7501875,38.1430063330950018
4.8004375,36.86210104410500302
4.8501875,28.7773238672560011
4.9001875,31.08615958434999967
4.9501875,30.52972809366099925
5.0001875,32.74865037623798955
5.0501875,28.27298599316999612
5.1001875,25.32685417147499847
5.1501875,27.94914781252399637
5.2004375,20.90857025545899712
5.2501875,28.92897893286999525
5.3001875,30.4223747459629975
5.3501875,28.69720139469399802
5.4001875,27.99579054222800052
5.4501875,31.28256782861900107
5.5001875,27.55902918320099805
5.5501875,29.7191791391920005
5.6004375,27.9720190814120001
5.6501875,34.31304947617400095
5.7001875,30.25849743788899802
5.7501875,31.43437133093199507
5.8001875,29.77035200800699487
5.8501875,28.94399511957699632
5.9001875,32.07776868293699112
5.9501875,28.89949178078499857
6.0004375,28.0396226166879997
6.0501875,20.47691896198899988
6.1001875,24.25610918269799745
6.1501875,23.80569963476499837
6.2001875,16.73918422701599691
6.2005625,24.4854761590270015
6.2501875,25.78405577844599595
6.3001875,24.95834655833699845
6.3501875,23.92455392883000072
6.4004375,22.78824513665399808
6.4501875,25.68617765324599835
6.5001875,21.69739265150099776
6.5501875,27.21098747661499562
6.6001875,23.6341450816119972
6.6501875,18.55411724738999616
6.6505625,23.5610854421589976
6.7001875,22.35867443593100026
6.7501875,16.2361757884039974
6.7505625,23.57386252021599647
6.7509375,23.57386252021599647
6.8004375,20.75440301150700141
6.8501875,26.838898438405998
6.9001875,23.73313078284899535
6.9501875,23.93755165509399765
7.0001875,26.13605696924099667
7.0501875,25.98358993249100015
7.1001875,27.70391301801100057
7.1501875,13.36258142368199835
7.1505625,23.62479479406799485
7.2004375,26.54249127516600017
7.2501875,17.0675093704829947
7.2505625,21.20558602422600096
7.3001875,25.9445384791189965
7.3501875,10.8577771997089982
7.3505625,21.21825576555399796
7.4001875,18.81919591875900003
